# timestamp,T3,T4,O1,O2
1741649558.626,238136.137138,224297.928141,219736.308800,226330.400782
1741649558.626,238113.630403,224294.494910,219719.142646,226293.016713
1741649558.639,238090.742198,224288.391388,219709.605894,226266.313807
1741649558.639,238104.093651,224290.680209,219727.916458,226288.820542
1741649558.640,238136.518609,224297.165200,219743.556732,226331.926662
1741649558.640,238138.425959,224303.268722,219740.886441,226333.834013
1741649558.655,238111.341583,224301.742841,219719.524116,226304.460816
1741649558.655,238093.412488,224297.928141,219709.224424,226282.717021
1741649558.655,238108.289822,224293.731970,219719.142646,226301.790525
1741649558.655,238116.300694,224298.691081,219736.690270,226334.596953
1741649558.670,238123.167155,224302.124312,219740.504971,226350.618697
1741649558.670,238105.238061,224297.546670,219723.720287,226319.719619
1741649558.670,238099.134540,224296.783730,219717.998236,226297.212884
1741649558.670,238102.186300,224297.928141,219732.112629,226306.749636
1741649558.684,238135.374198,224304.794602,219756.145245,226351.000167
1741649558.684,238139.951839,224305.557542,219756.145245,226360.155449
1741649558.685,238107.145412,224298.691081,219734.019979,226320.864030
1741649558.685,238093.031018,224290.680209,219719.524116,226287.294662
1741649558.699,238112.104523,224289.535799,219727.153518,226304.460816
1741649558.699,238134.992728,224297.165200,219746.227022,226348.329876
1741649558.700,238122.022745,224301.361371,219741.267911,226351.763107
1741649558.700,238105.238061,224296.783730,219719.905586,226318.193739
1741649558.714,238098.371600,224292.969029,219706.935603,226291.490833
1741649558.714,238109.434232,224294.113440,219719.905586,226306.749636
1741649558.715,238114.011873,224294.113440,219733.638509,226331.545192
1741649558.715,238123.167155,224296.402260,219735.164390,226343.752235
1741649558.729,238104.475121,224296.402260,219718.379706,226311.708748
1741649558.729,238090.360728,224292.206089,219711.894714,226283.479961
1741649558.745,238088.071907,224289.154328,219726.390578,226286.150252
1741649558.745,238123.167155,224291.061679,219750.423193,226325.060201
1741649558.745,238136.518609,224291.061679,219748.897313,226332.308132
1741649558.745,238112.867463,224284.958157,219726.009108,226295.305534
1741649558.760,238089.979258,224274.658465,219712.276184,226261.354696
1741649558.760,238099.516010,224270.843764,219726.390578,226276.994969
1741649558.761,238136.137138,224273.514055,219750.804663,226320.864030
1741649558.761,238129.652147,224273.132585,219747.752903,226323.534320
1741649558.776,238103.712181,224271.606704,219729.442338,226296.068474
1741649558.776,238091.505138,224272.369645,219724.864697,226281.572610
1741649558.776,238110.578642,224276.947286,219740.123501,226304.460816
1741649558.776,238122.022745,224283.813747,219756.145245,226337.267244
1741649568.826,237927.472999,220155.925899,219856.090408,225698.304842
1741649568.826,237964.857068,220200.557900,219873.638033,225910.783683
1741649568.826,237962.186777,220239.849319,219868.678921,226092.744916
1741649568.826,237907.636554,220266.552226,219827.861622,225931.001597
1741649568.841,237872.922776,220291.347782,219794.673724,225594.926448
1741649568.841,237882.840998,220323.009799,219787.044322,225499.940395
1741649568.841,237919.462127,220348.568295,219803.829006,225755.143886
1741649568.841,237918.317717,220378.322962,219803.829006,225975.633598
1741649568.856,237892.377751,220432.873185,219758.815535,225828.386143
1741649568.856,237853.467802,220471.020194,219715.709415,225469.041318
1741649568.856,237871.015426,220509.548673,219705.028253,225373.673795
1741649568.856,237914.503016,220535.488639,219722.194407,225665.498415
1741649568.870,237924.039768,220574.017118,219720.287056,225943.971580
1741649568.870,237886.274229,220621.319410,219680.232697,225823.427032
1741649568.870,237862.241614,220652.218487,219662.303603,225502.610686
1741649568.870,237888.944520,220670.910521,219667.644184,225419.831676
1741649578.830,237602.079012,226980.044346,219811.076938,233875.497699
1741649578.830,237631.070739,226978.899936,219831.294853,234087.213599
1741649578.830,237648.236893,226978.899936,219833.583673,234283.670696
1741649578.830,237631.070739,226973.940824,219813.365758,234196.695515
1741649578.845,237597.119901,226957.919081,219792.766373,233933.862623
1741649578.845,237602.841952,226948.382328,219796.199604,233857.950075
1741649578.845,237631.452209,226951.434089,219814.128698,234067.758625
1741649578.845,237629.926329,226952.197029,219815.273109,234260.019550
1741649578.860,237606.275183,226943.804687,219796.199604,234177.240541
1741649578.860,237584.912858,226935.793815,219782.085211,233927.377632
1741649578.860,237593.686670,226934.649405,219793.147844,233863.672126
1741649578.860,237611.234294,226932.360585,219810.695468,234066.614215
1741649578.875,237620.008106,226933.123525,219816.036049,234274.133944
1741649578.875,237604.367833,226931.597644,219805.736356,234199.747276
1741649578.875,237595.975491,226921.679422,219793.147844,233944.925256
1741649578.875,237586.438738,226914.431490,219798.488425,233861.001836
1741649578.890,237630.689269,226919.390602,219825.191331,234075.388027
1741649578.890,237639.844551,226924.731183,219831.294853,234282.907756
1741649578.890,237615.430465,226914.050020,219811.458408,234199.365806
1741649578.890,237585.675798,226900.317097,219791.240493,233936.151444
1741649578.904,237592.923730,226895.357986,219798.488425,233861.383306
1741649578.904,237618.100756,226897.265336,219819.469280,234069.284505
1741649578.905,237622.678397,226893.069165,219819.469280,234260.782491
1741649578.905,237595.975491,226880.480652,219798.869895,234174.951720
1741649578.920,237579.953747,226867.892139,219785.899912,233913.644708
1741649578.920,237592.160790,226863.314498,219793.910784,233832.010109
1741649578.920,237613.141645,226864.458909,219812.984288,234021.982214
1741649578.920,237626.111628,226862.551558,219819.469280,234221.491071
1741649578.934,237609.708414,226851.870396,219801.540185,234140.237942
1741649578.934,237584.531388,226837.756002,219784.755502,233877.405050
1741649578.950,237574.994636,226828.600720,219791.621963,233780.511647
1741649578.950,237615.430465,226835.467182,219812.984288,233986.505496
1741649578.950,237631.070739,226832.033951,219809.551057,234189.066114
1741649578.950,237594.449610,226819.063968,219784.374031,234108.957395
1741649589.031,235481.868250,219809.932527,219373.912214,230378.179911
1741649589.031,235503.230575,219815.273109,219394.130129,230488.043297
1741649589.031,235529.933481,219822.139570,219411.677753,230733.710035
1741649589.031,235511.622917,219820.995160,219401.759531,230771.857044
1741649599.036,235775.218749,217194.955058,219959.468803,229747.991322
1741649599.036,235799.251365,217201.058580,219978.542307,229842.214434
1741649599.037,235824.046921,217210.595332,219993.038171,230082.922061
1741649599.037,235816.798989,217210.213862,219983.882889,230138.235224
1741649599.051,235790.096083,217201.821520,219962.139094,229932.241375
1741649599.051,235785.518442,217201.058580,219963.283504,229759.435424
