# timestamp,T3,T4,O1,O2
1741652013.095,219615.382781,202514.460101,209771.165630,214462.866271
1741652013.095,219029.826193,202369.119996,209480.866891,213945.974298
1741652013.110,219189.280690,202389.337911,209608.277901,213847.936485
1741652013.110,219844.264836,202544.214768,209968.004196,214294.637961
1741652013.110,220115.108600,202625.849367,210074.434351,214679.159812
1741652013.110,219613.093961,202519.037742,209778.032091,214476.980664
1741652013.125,219049.281167,202379.419689,209486.970412,213964.284863
1741652013.125,219206.828315,202396.585843,209612.092602,213861.287938
1741652013.125,219863.719810,202549.173879,209976.015068,214302.648833
1741652013.125,220113.582719,202617.457025,210078.630522,214680.304222
1741652013.140,219636.363636,202511.408340,209782.991202,214483.847126
1741652013.140,219064.539971,202371.027347,209490.785113,213971.914265
1741652013.140,219210.261545,202396.585843,209616.670243,213868.917340
1741652013.140,219848.461007,202548.410939,209972.200367,214306.463534
1741652013.155,220127.315643,202625.086427,210078.249052,214692.129795
1741652013.155,219650.096560,202515.985981,209778.413561,214493.383878
1741652013.155,219056.529099,202369.882936,209481.629831,213974.966025
1741652013.155,219205.302434,202396.967313,209607.896431,213870.443221
1741652013.170,219854.945998,202545.359178,209963.808025,214301.504423
1741652013.170,220133.800634,202622.034666,210074.434351,214687.170684
1741652013.170,219639.796867,202513.697160,209780.702382,214493.383878
1741652013.170,219060.725270,202364.542355,209480.103951,213971.151324
1741652023.097,217810.266314,203140.071049,209794.816775,213839.162673
1741652023.097,218438.166083,203297.618196,210159.120711,214284.719739
1741652023.097,218666.666667,203368.953103,210261.354696,214654.745726
1741652023.097,218189.447584,203253.367666,209952.745393,214439.978065
1741652023.112,217653.100637,203111.842262,209662.828124,213927.282264
1741652023.112,217819.803066,203141.596929,209801.301767,213837.636793
1741652023.112,218423.288749,203291.133205,210162.553942,214275.182986
1741652023.112,218674.677539,203360.942231,210266.313807,214650.168085
1741652023.127,218215.387550,203253.749136,209968.385666,214446.844527
1741652023.127,217675.225902,203116.419903,209672.364876,213932.622845
1741652023.142,217806.451613,203137.782228,209797.487066,213831.533271
1741652023.142,218428.247860,203288.844384,210156.450421,214268.316525
1741652023.142,218675.059009,203359.416351,210257.539995,214641.012803
1741652023.142,218208.521088,203249.934435,209958.085974,214438.833655
1741652023.157,217659.204158,203109.171971,209664.735474,213926.519324
1741652023.157,217808.740433,203132.823117,209792.146485,213828.100041
1741652023.157,218429.010800,203285.029683,210150.728369,214268.697995
1741652023.157,218665.903726,203356.746060,210254.106764,214648.642205
1741652023.172,218201.654627,203244.975324,209955.034213,214448.370407
1741652023.172,217659.967098,203096.964929,209657.869013,213932.241375
1741652023.173,217811.029254,203119.090194,209786.424433,213829.625921
1741652023.173,218411.081706,203269.007939,210148.058079,214260.687123
1741652023.187,218667.048137,203341.487257,210255.632644,214637.961042
1741652023.187,218211.572849,203235.438571,209961.900675,214444.937177
1741652023.187,217666.070620,203091.624347,209665.879885,213931.859905
1741652023.187,217795.007510,203116.801373,209794.053835,213831.533271
1741652023.202,218423.670219,203277.781751,210159.120711,214272.512696
1741652023.202,218678.110769,203350.261069,210264.787926,214650.168085
1741652023.202,218213.480199,203239.634742,209963.426555,214455.236869
1741652023.202,217649.667406,203089.335527,209663.209594,213937.581956
1741652033.304,217494.027609,203439.906540,210223.970627,214338.125551
1741652033.304,217610.375986,203467.372386,210243.807072,214623.465179
1741652033.305,217053.811125,203326.609923,209900.102520,214320.577927
1741652033.305,216603.676418,203201.487733,209661.683714,213833.440622
1741652043.299,217597.787473,200076.103283,209473.618959,214145.864626
1741652043.299,217180.840665,199981.117231,209313.782991,213720.144005
1741652043.300,217645.471235,200081.443864,209565.171781,213833.822092
1741652043.300,218328.302697,200236.702191,209868.821973,214317.526166
1741652043.314,218367.975586,200260.734807,209831.819374,214535.345588
1741652043.314,217651.193286,200093.269437,209469.041318,214153.494028
1741652043.315,217195.717998,199962.806666,209286.317145,213700.307560
1741652043.315,217634.027132,200055.122428,209538.850345,213806.356245
1741652043.329,218374.460577,200225.258088,209858.903750,214301.504423
1741652043.329,218409.555826,200247.764824,209819.230861,214516.653554
1741652043.329,217683.999714,200087.928856,209461.411916,214141.286985
1741652043.329,217227.380016,199968.910188,209287.080085,213693.441099
1741652043.345,217693.154996,200069.236821,209548.768567,213807.119186
1741652043.345,218428.629330,200240.898362,209877.977255,214306.463534
1741652043.345,218433.588441,200243.568653,209827.241733,214507.498271
1741652043.345,217727.105834,200083.351215,209464.463677,214132.894643
1741652043.359,217272.774956,199963.188136,209284.028324,213682.759936
1741652043.359,217699.258518,200045.585676,209522.828601,213777.745989
1741652043.359,218400.782014,200206.947524,209844.789357,214274.801516
1741652043.359,218456.095177,200231.361610,209817.323510,214504.065041
1741652043.374,217757.241971,200076.484753,209466.371027,214142.812865
1741652043.374,217301.385213,199958.610495,209289.750376,213700.307560
1741652043.389,217722.909663,200041.389505,209535.798584,213798.345373
1741652043.389,218438.929023,200198.936652,209854.707579,214287.008559
1741652043.390,218489.283075,200215.339866,209824.952912,214515.509143
1741652043.390,217791.574279,200055.122428,209472.093079,214156.164318
1741652053.292,220187.969387,202195.932575,210183.153327,214554.037622
1741652053.292,219529.933481,202042.200129,209824.189972,214084.447941
1741652053.292,219346.446368,201992.990487,209778.413561,213764.776006
1741652053.292,219895.763298,202109.720335,210091.600505,214023.031257
1741652053.304,220408.077629,202235.986935,210338.411654,214503.302100
1741652053.304,220199.794960,202201.654627,210185.442148,214556.707913
1741652053.320,219519.252319,202040.674248,209821.519681,214082.922061
1741652053.320,219351.024009,201981.546384,209763.536228,213752.187493
1741652053.320,219888.133896,202099.802112,210078.630522,214011.205684
1741652053.320,220399.685287,202237.512815,210337.267244,214504.827981
1741652053.335,220192.547028,202204.706387,210185.823618,214560.904084
1741652053.335,219528.789071,202043.726009,209822.664092,214087.881172
1741652053.335,219362.849582,201989.938726,209772.691510,213762.487185
1741652053.335,219882.411845,202110.101805,210088.167275,214018.453616
1741652053.350,220403.118518,202252.390149,210349.474287,214513.601793
1741652053.350,220202.465250,202217.294900,210199.938011,214570.059366
1741652053.350,219540.233174,202052.118351,209829.530553,214093.221753
1741652053.350,219338.435496,201995.660778,209771.165630,213757.528074
