# timestamp,T3,T4,O1,O2
1741648309.803,267120.997544,242042.772334,236578.594760,235144.267220
1741648309.803,268543.880981,242164.842763,242438.356818,246715.018001
1741648309.804,267668.025654,242106.477839,242293.398183,250437.784612
1741648309.804,265598.168944,241941.301290,236174.999404,240951.386405
1741648309.818,265304.055504,241901.246930,232670.052214,231505.042558
1741648309.818,267120.616074,242035.142932,236550.747443,235098.109339
1741648309.833,268562.954486,242157.594831,242424.242424,246673.437761
1741648309.833,267637.126577,242099.611377,242304.842286,250443.125194
1741648309.834,265611.901867,241938.630999,236207.805832,241011.658680
1741648309.834,265302.529624,241899.721050,232669.289274,231527.930763
1741648309.834,267106.120211,242033.998522,236522.137186,235063.395561
1741648309.834,268514.889254,242155.306011,242398.302458,246627.279880
1741648309.848,267661.159192,242103.426078,242323.534320,250472.116921
1741648309.848,265632.119782,241938.630999,236236.034618,241070.405074
1741648309.863,265301.385213,241896.287819,232668.907803,231538.230456
1741648309.863,267069.117612,242027.132060,236487.804878,234994.730944
1741648309.878,268539.303340,242153.017190,242385.713945,246572.348187
1741648309.878,267688.243569,242098.848437,242348.329876,250482.035143
1741648309.879,265621.438619,241935.197768,236270.366927,241116.944425
1741648309.879,265293.374341,241892.854588,232676.537205,231550.056028
1741648309.880,267089.335527,242027.895000,236471.020194,234959.254226
1741648309.880,268542.355101,242152.635720,242374.651312,246532.293827
1741648309.880,267669.170064,242098.848437,242366.640441,250495.768066
1741648309.880,265635.553012,241937.868059,236305.080705,241183.701690
1741648309.893,265292.229931,241895.524879,232676.155735,231579.047755
1741648309.893,267101.542570,242029.420881,236449.657869,234935.221610
1741648309.908,268489.330758,242152.254250,242351.763107,246478.888015
1741648309.908,267688.243569,242106.859309,242392.580407,250510.645400
1741648309.909,265658.822688,241945.115991,236345.898004,241246.262785
1741648309.909,265288.415230,241899.721050,232689.507188,231613.761534
1741648309.925,267059.962330,242030.946761,236427.914074,234893.641370
1741648309.925,268530.910998,242156.450421,242355.196338,246448.370407
1741648309.925,267720.668526,242107.622249,242423.098014,250532.770665
1741648309.925,265647.378585,241943.590110,236373.745321,241300.050068
1741648309.940,265279.259948,241896.287819,232688.362778,231630.546217
1741648309.940,267062.251150,242025.606180,236395.107646,234844.431729
1741648309.940,268545.406862,242150.728369,242333.452543,246393.438714
1741648309.940,267685.954748,242099.611377,242429.201535,250527.811554
1741648309.955,265659.967098,241941.682760,236406.551749,241360.322342
1741648309.955,265287.652290,241897.813700,232690.270129,231660.300885
1741648309.970,267056.529099,242024.843240,236364.208569,234808.192070
1741648309.970,268490.856639,242144.243378,242298.357294,246331.259090
1741648309.970,267709.987364,242098.466967,242444.078869,250542.307417
1741648309.970,265672.555611,241939.393939,236430.584364,241416.398446
1741648309.971,265273.537897,241893.617529,232682.640727,231677.085569
1741648309.971,267016.474740,242022.172949,236326.824500,234752.497437
1741648320.004,267389.552488,241552.583268,242651.217128,247968.910188
1741648320.004,266144.815583,241466.752497,241034.546885,248893.593687
1741648320.004,264333.595594,241311.494171,234764.704480,238237.989653
1741648320.004,264481.605989,241301.957418,232646.019598,230914.526858
1741648320.018,266397.348783,241452.638104,237524.259114,236946.331927
