# timestamp,T3,T4,O1,O2
1741649337.073,246315.237346,220955.868679,238679.350547,236081.157762
1741649337.073,246302.267363,220956.250149,238675.154376,236088.405693
1741649337.087,246395.727535,220959.683380,238782.347472,236109.768019
1741649337.087,246462.103331,220956.631619,238848.341797,236107.479198
1741649337.087,246408.697518,220950.146628,238781.966001,236080.776292
1741649337.087,246306.082064,220942.898696,238669.813795,236054.836325
1741649337.102,246295.400901,220947.094867,238664.473214,236071.239539
1741649337.102,246387.716663,220953.579858,238770.521899,236095.653625
1741649337.102,246455.236869,220953.961328,238839.949455,236094.890685
1741649337.102,246399.923706,220946.331927,238774.336600,236061.702787
1741649337.117,246300.741482,220942.898696,238663.710273,236050.640154
1741649337.117,246288.915910,220945.950457,238656.080872,236065.517488
1741649337.118,246378.942851,220949.383687,238760.603676,236085.735403
1741649337.118,246441.503946,220945.187516,238824.690652,236075.435710
1741649337.131,246388.479603,220935.650764,238757.170446,236048.732804
1741649337.131,246287.771499,220931.073123,238645.781179,236037.288701
1741649337.131,246269.842405,220931.836063,238635.100017,236044.536633
1741649337.131,246362.539637,220935.650764,238740.004292,236066.661898
1741649337.147,246430.822783,220933.361944,238810.957728,236066.280428
1741649337.147,246380.087261,220927.258422,238745.726343,236043.773693
1741649337.148,246275.564457,220923.062251,238635.481487,236024.700188
1741649337.148,246262.594473,220928.402832,238627.089145,236042.629283
1741649337.162,246354.910235,220936.032234,238734.663710,236068.187779
1741649337.162,246424.719262,220933.743414,238807.905968,236068.187779
1741649337.176,246371.313449,220924.969602,238743.056052,236032.329590
1741649337.176,246275.182986,220921.917841,238634.718547,236022.411368
1741649337.177,246262.213003,220924.588132,238627.089145,236037.670171
1741649337.177,246352.239945,220929.547243,238732.756360,236060.176907
1741649337.192,246418.615740,220930.310183,238802.946856,236056.743676
1741649337.193,246370.550509,220923.443721,238740.004292,236033.855471
1741649337.193,246272.894166,220921.154901,238630.140906,236023.937248
1741649337.193,246256.490952,220926.114012,238624.037384,236039.196052
1741649337.207,246346.899363,220932.217533,238729.704599,236064.754548
1741649337.207,246412.893689,220929.928713,238800.276566,236063.610138
1741649347.166,246174.856353,220869.274968,238457.334955,236077.343061
1741649347.166,246127.172591,220865.078797,238397.825620,236055.599266
1741649347.166,246031.423599,220863.552917,238292.158405,236044.155163
1741649347.166,246016.164795,220868.512028,238286.436354,236054.454855
1741649347.181,246112.295258,220879.193191,238400.877381,236088.024223
1741649347.181,246183.248695,220882.244951,238477.552869,236092.983335
1741649347.182,246131.750232,220873.471139,238413.465894,236062.465727
1741649347.182,246034.475359,220871.563789,238302.839568,236047.588394
1741649347.196,246021.123906,220878.811721,238294.447226,236067.806309
1741649347.196,246110.769377,220885.296712,238400.495911,236097.560976
1741649347.196,246173.711942,220886.822593,238472.212288,236090.313044
1741649347.196,246126.409651,220880.719071,238409.269723,236067.424838
1741649347.211,246025.701547,220875.378490,238297.117517,236055.599266
1741649347.211,246010.442744,220879.193191,238286.436354,236074.291300
1741649347.212,246093.603223,220881.863481,238390.577689,236089.931574
1741649347.212,246161.504900,220880.719071,238464.582886,236094.509215
1741649347.226,246113.439668,220873.852609,238403.166202,236070.858069
1741649347.226,246015.401855,220871.182319,238293.684286,236058.651026
1741649347.241,245995.183940,220873.852609,238283.003123,236068.187779
1741649347.241,246082.922061,220878.048780,238387.144458,236095.653625
1741649347.242,246150.442267,220878.811721,238458.860835,236094.890685
1741649347.242,246100.088215,220870.419379,238395.155330,236063.610138
1741649357.126,245710.607253,220760.555993,238641.966478,235961.757623
1741649357.126,245617.910021,220755.596881,238530.195742,235940.395298
1741649357.127,245551.152755,220755.596881,238459.242305,235933.910307
1741649357.127,245601.506807,220760.555993,238522.947810,235957.942923
1741649357.142,245698.018740,220764.370694,238630.903846,235972.820256
1741649357.142,245710.988723,220759.793052,238636.625897,235957.942923
1741649357.142,245620.198841,220752.545121,238530.577212,235922.847674
1741649357.142,245561.452447,220754.071001,238464.964356,235930.858546
