# timestamp,T3,T4,O1,O2
1741651440.046,237117.611997,195737.262475,207536.132370,210332.308132
1741651440.046,237095.486732,195731.158954,207425.506044,210278.520850
1741651440.065,237088.620270,195729.633073,207381.255513,210269.365568
1741651440.065,237134.015211,195738.788356,207470.138044,210326.586081
1741651440.069,237152.707246,195741.840116,207567.794388,210366.640441
1741651440.069,237121.808168,195738.406886,207545.669122,210338.030184
1741651440.077,237087.475860,195728.870133,207431.609565,210280.046730
1741651440.077,237101.971724,195732.303364,207386.596095,210279.665260
1741651440.077,237151.944305,195746.799228,207475.860096,210341.844885
1741651440.078,237146.985194,195746.799228,207567.412918,210372.743962
1741651440.095,237122.952578,195739.932766,207544.524712,210341.844885
1741651440.095,237092.816441,195737.643945,207434.279856,210288.057602
1741651440.095,237112.271416,195747.562168,207395.369907,210291.490833
1741651440.095,237138.211382,195757.861860,207477.385976,210343.752235
1741651449.973,237623.822807,196333.500226,207964.523282,210787.401950
1741651449.973,237611.615764,196315.571132,208002.670291,210782.061369
1741651449.975,237582.242567,196304.889970,207927.139213,210727.892616
1741651449.975,237566.602294,196302.982619,207829.482870,210685.549436
1741651449.988,237595.594020,196313.282312,207847.411964,210713.396753
1741651449.988,237631.833679,196315.189662,207954.223589,210767.184035
1741651449.989,237629.926329,196308.323201,208004.959111,210772.906087
1741651449.989,237581.098157,196298.404978,207930.572444,210721.789095
1741651450.003,237567.365234,196297.642038,207834.823451,210684.786496
1741651450.003,237596.738431,196301.456739,207843.597263,210711.107932
1741651450.004,237634.503970,196308.704671,207949.264478,210770.998736
1741651450.004,237613.904585,196310.230551,208004.577641,210779.772548
1741651450.019,237590.253439,196302.219679,207932.098324,210730.181437
1741651450.019,237576.139046,196300.312329,207832.916100,210691.652958
1741651450.019,237605.893713,196310.230551,207847.793434,210720.263214
1741651450.019,237615.811935,196310.612021,207953.460649,210769.091386
1741651450.034,237622.296927,196303.364089,208009.536752,210776.339318
1741651450.034,237593.305200,196291.538517,207933.624204,210721.789095
1741651450.035,237573.087285,196287.723816,207832.153160,210679.827385
1741651450.035,237586.438738,196290.394106,207841.308442,210702.334120
1741651450.047,237624.585747,196296.116158,207954.605059,210763.750805
1741651450.047,237632.978089,196302.219679,208023.651146,210784.350190
1741651450.049,237604.749303,196315.189662,207971.008273,210749.254941
1741651450.049,237589.490499,196315.571132,207867.629879,210709.200582
1741651450.063,237589.871969,196297.642038,207845.886083,210708.819112
1741651450.063,237614.667525,196289.249696,207939.727726,210750.780822
1741651450.063,237598.645781,196286.579405,207997.329709,210755.739933
1741651450.063,237582.624037,196283.527645,207928.665093,210709.963522
1741651450.079,237571.561405,196282.001764,207823.379348,210670.672103
1741651450.079,237596.738431,196288.868226,207826.431109,210693.560308
1741651450.093,237609.708414,196288.486756,207930.190973,210741.625539
1741651450.093,237623.059867,196289.249696,207996.566769,210758.410223
1741651450.094,237595.212550,196284.672055,207930.190973,210711.870872
1741651450.094,237573.468755,196288.105286,207829.101400,210674.105333
1741651450.111,237591.779320,196298.023508,207833.679041,210701.189710
1741651450.111,237627.256038,196306.415850,207940.109196,210761.843454
1741651450.112,237624.585747,196301.456739,207998.474120,210772.143147
1741651450.112,237577.664926,196286.197935,207923.705982,210711.870872
1741651460.007,241072.312424,195166.964690,206694.227881,209994.325632
1741651460.007,241092.530339,195231.814606,206657.988222,209947.023341
1741651460.011,241163.865246,195380.587941,206726.652838,210013.780607
1741651460.011,241000.977517,195194.812007,206622.130034,209926.042486
1741651460.022,240820.923634,194985.003457,206530.195742,209849.748468
1741651460.022,240827.408626,195037.646330,206585.890375,209906.968982
1741651460.023,240918.961448,195154.757647,206616.407982,209919.938965
1741651460.023,240989.533414,195221.896383,206633.192666,209940.156880
1741651460.037,241092.530339,195307.727154,206778.914241,210111.818420
1741651460.037,241150.895263,195351.596214,206912.810242,210273.561739
1741651460.037,240947.571704,195140.643254,206723.601078,210085.878454
