# timestamp,T3,T4,O1,O2
1741649357.306,245712.896073,220787.640369,238664.473214,236002.574923
1741649357.306,245728.536347,220784.588608,238677.824667,235990.367880
1741649357.307,245643.087047,220780.010967,238574.827742,235970.531436
1741649357.307,245571.370670,220783.444198,238500.059605,235969.387025
1741649357.321,245611.806499,220792.980950,238554.991298,235997.234342
1741649357.321,245710.988723,220802.517703,238667.143504,236022.792838
1741649357.322,245732.351048,220805.950933,238683.546718,236018.596667
1741649357.322,245644.231457,220803.280643,238580.168324,235992.656701
1741649367.268,245347.066257,220671.291992,238699.949932,236039.577522
1741649367.268,245404.286770,220675.488163,238758.696326,236041.484872
1741649367.268,245345.540376,220671.291992,238684.309658,236021.648428
1741649367.268,245253.987555,220672.054932,238584.745965,236009.059915
1741649367.283,245263.905777,220680.828744,238601.530649,236037.288701
1741649367.283,245364.613881,220687.695205,238715.971676,236066.661898
1741649367.283,245421.071454,220689.221086,238773.192189,236066.280428
1741649367.283,245357.747419,220684.643445,238696.135231,236039.577522
1741649367.298,245269.627828,220684.261975,238595.808597,236036.525761
1741649367.298,245275.731350,220690.365496,238608.778580,236060.176907
1741649367.298,245369.954462,220694.180197,238719.786377,236078.868941
1741649367.298,245425.649095,220690.365496,238776.625420,236070.858069
1741649367.313,245365.376821,220685.406385,238700.331402,236046.825454
1741649367.313,245273.061059,220684.261975,238596.190067,236041.103402
1741649367.313,245271.153709,220687.313735,238603.437999,236050.640154
1741649367.313,245365.376821,220693.798727,238708.723744,236072.002480
1741649367.328,245419.164104,220691.891376,238762.892497,236064.373078
1741649367.328,245361.180650,220685.787855,238685.072599,236036.144291
1741649367.329,245267.339008,220681.591684,238582.075674,236012.111675
1741649367.329,245271.916649,220685.787855,238590.086546,236029.659300
1741649367.341,245366.902701,220689.221086,238699.949932,236050.258684
1741649367.341,245426.030565,220687.695205,238758.314856,236044.918103
1741649367.357,245365.758291,220679.302863,238682.402308,236010.585795
1741649367.357,245275.731350,220674.725222,238580.931264,236000.286103
1741649367.357,245280.308991,220680.065804,238591.993896,236020.122547
1741649367.357,245372.624753,220681.591684,238698.042582,236036.144291
1741649377.423,244953.007653,220540.829221,238603.819469,235923.992084
1741649377.423,244953.007653,220544.643922,238609.922991,235943.065589
1741649377.423,245047.993706,220552.273323,238718.641966,235970.531436
1741649377.423,245102.925399,220552.654793,238777.388360,235962.520564
1741649387.276,243157.427938,219439.143600,230645.208974,234316.095654
1741649387.276,243170.397921,219444.484181,230658.178957,234335.932098
1741649387.277,243173.449682,219440.288010,230662.756598,234350.809432
1741649387.277,243176.119972,219432.277138,230652.456906,234345.850321
1741649387.291,243176.882913,219440.288010,230642.538683,234332.880338
1741649387.291,243170.397921,219425.792146,230630.713111,234301.599790
1741649387.292,243178.408793,219423.503326,230638.723983,234305.033021
1741649387.292,243198.626708,219434.565959,230650.931025,234337.457979
1741649387.306,243201.678468,219435.328899,230639.486923,234335.932098
1741649387.306,243187.182605,219431.132728,230621.557828,234310.755072
1741649387.307,243195.956417,219426.936557,230615.072837,234289.011277
1741649387.307,243204.730229,219432.658608,230629.950170,234315.332713
1741649387.321,243225.711084,219431.895668,230648.642205,234346.994731
1741649387.321,243224.948144,219431.132728,230643.301624,234347.376201
1741649387.336,243219.989033,219431.895668,230622.702239,234313.043893
1741649387.336,243223.040793,219431.132728,230612.021076,234300.073910
1741649387.336,243230.288725,219428.462437,230621.557828,234308.084782
1741649387.336,243254.702811,219459.361514,230654.745726,234356.912953
1741649387.351,243260.424862,219463.557685,230647.879265,234359.964714
1741649387.351,243259.661922,219452.876523,230629.568700,234326.776816
1741649387.352,243260.806332,219455.165343,230625.372529,234311.899483
1741649387.352,243265.765444,219462.031805,230637.961042,234327.921226
1741649387.366,243275.683666,219471.568557,230657.416017,234364.923825
1741649387.366,243295.138641,219478.435019,230661.612188,234380.182629
1741649387.367,243289.416589,219471.568557,230644.064564,234358.057364
1741649387.367,243268.054264,219444.484181,230622.320769,234313.806833
1741649387.381,243279.116897,219448.680352,230637.579572,234334.406218
1741649387.381,243302.005102,219473.094438,230664.282479,234381.327039
1741649387.382,243322.985957,219481.105310,230670.767470,234399.637603
1741649387.382,243302.005102,219471.568557,230648.642205,234355.387073
1741649387.397,243293.612760,219457.454164,230630.713111,234330.972987
1741649387.397,243306.201273,219462.031805,230638.723983,234347.757671
1741649387.397,243322.223017,219473.475908,230659.704838,234382.471449
1741649387.397,243319.171256,219477.672079,230661.230718,234386.667620
1741649387.412,243325.656248,219476.909139,230645.971914,234363.397945
