# timestamp,T3,T4,O1,O2
1741650031.677,227095.248313,203458.598574,217022.530577,224218.582362
1741650031.677,227102.877715,203459.742985,217025.200868,224308.227833
1741650031.677,227092.578023,203456.309754,217010.705004,224253.296140
1741650031.677,227070.834227,203450.206232,216992.012970,224112.533677
1741650031.692,227074.648928,203445.628591,216995.064731,224085.067830
1741650031.692,227092.959493,203449.443292,217008.797654,224196.075626
1741650031.692,227100.207424,203451.350643,217012.230885,224288.772858
1741650031.692,227084.567151,203450.587702,216997.353551,224229.263524
1741650031.707,227070.452757,203443.339771,216983.239158,224098.800753
1741650031.707,227067.782467,203436.091839,216981.713278,224067.901676
1741650031.707,227081.133920,203436.091839,216992.775910,224175.857712
1741650031.707,227082.659800,203436.473309,216992.394440,224262.451422
1741650031.722,227070.071287,203432.658608,216976.372696,224212.097370
1741650031.722,227053.668073,203426.936557,216961.876833,224085.067830
1741650031.722,227052.905133,203423.503326,216965.310064,224055.694633
1741650031.722,227066.638056,203424.647736,216981.331807,224164.032139
1741650031.737,227076.937749,203429.606847,216986.672389,224261.307012
1741650031.737,227068.163937,203431.514198,216972.939465,224215.149131
1741650031.738,227046.801612,203427.699497,216957.680662,224081.634599
1741650031.738,227052.142193,203429.606847,216965.691534,224058.746394
1741650031.752,227071.597168,203434.947429,216984.002098,224173.568891
1741650031.752,227083.041270,203437.999189,216989.342679,224271.988174
1741650031.752,227064.730706,203434.184488,216974.083876,224214.386191
1741650031.752,227054.812484,203431.132728,216962.258303,224087.356651
1741650031.767,227059.390125,203432.658608,216970.269175,224063.705505
1741650031.767,227078.082159,203439.143600,216988.961209,224176.239182
1741650031.782,227081.133920,203440.669480,216991.250030,224265.503183
1741650031.782,227074.648928,203438.380659,216978.280047,224215.912071
1741650031.782,227059.771595,203434.184488,216963.784183,224086.593711
1741650031.782,227059.390125,203434.565959,216967.217414,224057.601984
1741650041.755,226692.797368,203263.285888,216892.830746,224114.059557
1741650041.755,226677.538564,203257.182367,216876.427533,223991.989128
1741650041.756,226667.238872,203252.223255,216871.468421,223908.065708
1741650041.756,226680.208855,203254.130606,216885.201345,223980.926495
1741650041.771,226693.560308,203259.471187,216895.501037,224106.430155
1741650041.771,226690.508547,203261.760008,216888.634575,224116.348378
1741650041.771,226665.712991,203255.656486,216866.890780,223987.411487
1741650041.771,226661.516820,203249.934435,216861.550199,223909.973059
1741650041.786,226674.105333,203250.697375,216873.757242,223976.348854
1741650041.786,226685.930906,203253.749136,216882.531054,224097.274873
1741650041.801,226674.105333,203251.841785,216869.942541,224098.419283
1741650041.801,226658.465060,203244.212383,216852.776387,223978.637675
1741650041.801,226654.650359,203241.542093,216852.776387,223901.962187
1741650041.801,226667.620342,203244.212383,216870.324011,223970.626803
1741650041.816,226682.116205,203248.027084,216884.056934,224098.419283
1741650041.816,226679.064445,203249.552965,216879.860763,224109.863386
1741650041.816,226665.712991,203246.882674,216868.416661,223996.185299
1741650041.816,226655.794769,203244.593854,216867.653721,223916.839520
1741650041.830,226671.435043,203249.171495,216885.201345,223991.607658
1741650041.830,226687.838257,203255.275016,216898.934268,224120.163078
1741650041.831,226686.693846,203257.182367,216895.501037,224135.040412
1741650041.831,226662.661231,203251.460315,216876.809003,224008.773812
1741650041.845,226662.279761,203246.119734,216877.190473,223933.242734
1741650041.846,226677.538564,203246.501204,216893.593687,224004.196171
1741650041.846,226693.178838,203252.223255,216908.089550,224129.699831
1741650041.846,226684.405026,203252.986196,216902.367499,224135.803352
1741650041.861,226667.238872,203242.686503,216882.912524,224014.114393
1741650041.861,226662.279761,203235.438571,216881.005174,223932.861264
1741650041.861,226674.105333,203239.634742,216897.026917,223996.948239
1741650041.861,226688.982667,203245.356794,216910.378371,224120.163078
1741650051.927,226395.632167,203010.752688,216775.337959,223836.349331
1741650051.927,226402.880099,203015.330329,216778.008249,223940.872136
1741650051.943,226386.095415,203013.804449,216759.316215,223902.725127
1741650051.943,226371.599552,203008.463868,216742.150061,223776.458527
1741650051.943,226371.599552,203006.175047,216746.346232,223732.589467
1741650051.943,226383.425125,203011.897098,216762.749446,223828.719929
1741650061.857,226288.820542,202819.636173,216638.771666,223710.845672
1741650061.857,226275.087619,202811.243831,216623.894333,223611.281978
1741650061.857,226269.365568,202804.758839,216619.698162,223508.666524
1741650061.857,226275.087619,202802.851489,216630.760794,223533.462079
1741650061.872,226293.398183,202806.666190,216648.308419,223658.965739
1741650061.872,226297.212884,202807.429130,216647.164008,223702.453330
1741650061.873,226286.150252,202805.903250,216633.812555,223607.848747
1741650061.873,226273.943209,202803.614429,216630.379324,223503.325942
1741650061.887,226291.872303,202806.666190,216649.071359,223543.761772
1741650061.887,226315.141978,202815.821472,216671.196624,223679.565124
1741650061.888,226316.667859,202819.636173,216671.196624,223729.537706
1741650061.888,226286.913192,202810.099421,216642.967837,223623.107551
1741650061.902,226273.180268,202804.377369,216629.616384,223521.636507
1741650061.902,226281.572610,202807.429130,216638.390196,223555.205875
1741650061.902,226295.687004,202812.388241,216647.926948,223680.328064
1741650061.902,226293.398183,202812.006771,216643.349307,223724.960065
1741650061.917,226278.902320,202806.666190,216626.946094,223627.685192
1741650061.917,226270.509978,202801.707079,216620.461102,223523.925327
1741650061.917,226272.035858,202801.707079,216629.616384,223547.576473
1741650061.917,226290.727893,202805.521780,216646.019598,223673.843073
1741650061.932,226294.924064,202805.140309,216644.875188,223720.763894
1741650061.932,226283.098491,202799.799728,216631.142265,223626.540782
1741650061.933,226270.509978,202796.366497,216625.801683,223517.058866
1741650061.933,226287.294662,202802.470019,216643.349307,223554.824405
1741650061.947,226309.038457,202810.862361,216662.041342,223685.287175
1741650061.947,226310.182867,202814.295592,216659.371051,223731.445056
1741650061.962,226288.439072,202810.099421,216639.153136,223629.211072
1741650061.962,226281.954081,202807.429130,216633.431085,223526.595618
1741650061.962,226290.727893,202810.480891,216644.112248,223553.679994
1741650061.962,226302.553465,202814.295592,216656.700761,223674.224543
1741650061.978,226299.120235,202812.388241,216649.834299,223714.660372
1741650061.978,226280.809670,202805.903250,216628.090504,223612.044918
1741650061.978,226268.221157,202799.036788,216615.883461,223501.418592
1741650061.978,226264.406456,202796.366497,216618.935222,223517.821806
