# timestamp,T3,T4,O1,O2
1741648863.817,268276.470448,222392.485039,235934.673247,233304.818444
1741648863.817,268261.593114,222385.618578,235902.629759,233271.249076
1741648863.832,268097.560976,222381.803877,235741.649381,233241.494409
1741648863.832,268008.296974,222379.896526,235669.170064,233246.072050
1741648863.832,268113.964189,222378.752116,235777.889040,233266.289965
1741648863.832,268262.356055,222375.318885,235912.929452,233259.804973
1741648863.847,268249.386072,222367.308013,235882.030375,233229.287366
1741648863.847,268087.261283,222363.874782,235721.431467,233205.254750
1741648863.847,268002.193453,222365.019193,235651.240970,233217.843263
1741648863.847,268107.860668,222369.215364,235766.444937,233238.442648
1741648863.862,268267.315166,222370.741244,235907.970341,233248.742341
1741648863.862,268261.211644,222366.163603,235881.648904,233228.524426
1741648863.862,268100.231266,222361.204492,235718.761176,233209.069451
1741648863.862,267999.523162,222356.626851,235639.796867,233207.162101
1741648863.877,268104.427437,222361.585962,235753.474954,233240.349999
1741648863.877,268260.448704,222364.256253,235898.052118,233252.175572
1741648863.877,268253.582243,222363.111842,235872.875092,233227.761486
1741648863.877,268087.642753,222361.204492,235710.368834,233199.151229
1741648863.891,268001.049043,222363.493312,235635.600696,233214.410033
1741648863.891,268113.582719,222371.504184,235751.186134,233249.886751
1741648863.892,268271.511337,222374.555945,235895.381828,233258.279093
1741648863.892,268265.407815,222370.741244,235869.823332,233233.865007
1741648863.907,268105.953318,222366.163603,235709.224424,233214.791503
1741648863.907,268017.070787,222369.978304,235634.456286,233229.668836
1741648863.907,268118.541831,222377.607706,235748.134373,233254.082922
1741648863.907,268283.718380,222379.133586,235892.330067,233268.578785
1741648863.922,268283.336910,222376.463295,235871.349212,233246.072050
1741648863.922,268126.171232,222374.555945,235713.420595,233226.998546
1741648863.922,268032.711060,222378.752116,235639.033927,233231.957657
1741648863.922,268144.481797,222386.762988,235753.093484,233269.723196
1741648863.935,268308.513936,222384.474167,235895.381828,233281.167298
1741648863.935,268311.947166,222376.463295,235876.308323,233256.371743
1741648863.951,268152.111199,222369.215364,235717.616766,233225.854135
1741648863.951,268067.424838,222373.793005,235640.559807,233241.112939
1741648863.952,268181.102925,222384.092697,235751.567604,233275.445247
1741648863.952,268350.475646,222386.000048,235896.526238,233283.456119
1741648863.967,268362.682688,222379.515056,235877.071263,233259.042033
1741648863.967,268208.187302,222374.937415,235716.090885,233235.390888
1741648863.967,268121.212121,222377.226236,235632.167465,233246.453520
1741648863.967,268231.838447,222381.803877,235738.216150,233269.723196
1741648874.017,268943.661636,221929.380350,234907.374294,233056.481415
1741648874.017,268970.364542,221929.380350,234939.036311,233081.658441
1741648874.017,269158.810767,221933.957991,235101.542570,233106.072527
1741648874.017,269244.260067,221933.957991,235167.155425,233088.143433
1741648874.031,269116.086117,221928.235939,235040.507355,233056.862885
1741648874.031,268942.135756,221926.710059,234900.126362,233051.140834
1741648874.032,268961.209260,221931.287700,234935.984550,233080.132561
1741648874.032,269135.159621,221930.524760,235101.542570,233091.195193
1741648874.046,269232.053024,221925.565649,235173.640417,233080.895501
1741648874.046,269108.075245,221920.988008,235053.858808,233052.666714
1741648874.047,268942.135756,221924.421238,234910.426054,233043.892902
1741648874.047,268947.857807,221930.524760,234939.417781,233062.966407
1741648884.021,267502.086165,221702.787116,235043.940586,233073.266099
1741648884.021,267665.355363,221703.168586,235186.991870,233087.380493
1741648884.021,267648.189209,221696.683594,235157.237203,233053.429655
1741648884.021,267485.301481,221690.198603,235000.071526,233030.922919
1741648884.035,267404.429821,221694.394774,234935.221610,233045.037313
1741648884.035,267528.026131,221702.405646,235055.003219,233080.895501
1741648884.050,267684.047398,221700.879765,235192.713921,233080.895501
1741648884.050,267674.510645,221695.157714,235163.340724,233058.388766
1741648884.051,267508.952626,221689.817133,235005.793577,233033.974680
1741648884.051,267423.121856,221690.198603,234937.128961,233040.841142
1741648884.065,267540.614644,221694.013304,235054.240278,233067.925518
1741648884.065,267706.935603,221694.776244,235195.002742,233075.936390
1741648884.065,267701.213552,221687.909782,235168.681306,233053.048184
1741648884.065,267533.366712,221680.661851,235009.989748,233022.149107
1741648884.080,267449.061822,221682.950671,234942.088072,233032.448800
1741648884.080,267566.173140,221689.817133,235058.054979,233068.306988
1741648884.080,267732.875569,221695.920654,235201.487733,233082.421381
