# timestamp,T3,T4,O1,O2
1741650977.289,209937.105119,195147.891186,208761.414300,211945.545145
1741650977.289,209924.898076,195143.313545,208746.918437,211901.294614
1741650977.289,209902.772811,195139.498844,208732.804044,211793.720049
1741650977.304,209910.783683,195138.735903,208738.144625,211775.790954
1741650977.304,209932.146008,195142.550604,208753.403428,211864.292015
1741650977.304,209938.630999,195147.891186,208758.362540,211938.297213
1741650977.304,209919.557495,195148.272656,208746.155497,211896.716973
1741650977.319,209909.257802,195148.654126,208740.051975,211805.927092
1741650977.319,209916.124264,195149.798536,208750.351668,211790.286818
1741650977.319,209934.816298,195154.376177,208768.280762,211876.499058
1741650977.319,209940.538350,195156.664998,208770.569583,211947.071025
1741650977.334,209927.186897,195156.283528,208753.403428,211907.398136
1741650977.334,209912.309563,195151.705887,208738.526095,211811.649143
1741650977.335,209904.680161,195151.324416,208736.618744,211787.616527
1741650977.335,209927.568367,195155.139117,208751.114608,211878.024939
1741650977.348,209936.723649,195157.046468,208756.455189,211950.504256
1741650977.348,209919.938965,195145.983835,208738.907565,211903.583435
1741650987.190,209486.207472,195322.985957,208908.280285,211881.076699
1741650987.190,209502.610686,195328.326538,208918.579978,211975.681282
1741650987.191,209492.692464,195327.945068,208909.806166,211970.722171
1741650987.191,209472.093079,195321.460077,208893.784422,211869.632597
1741650987.204,209472.856019,195321.078607,208895.691772,211817.371194
1741650987.204,209491.166583,195325.656248,208913.239396,211879.932289
1741650987.205,209498.033045,195330.233889,208920.105858,211969.959230
1741650987.205,209488.877763,195329.470949,208908.280285,211968.433350
1741650987.219,209469.041318,195325.656248,208890.732661,211871.539947
1741650987.219,209467.133968,195323.367427,208891.495601,211816.989724
1741650987.220,209476.670720,195325.274778,208903.321174,211869.632597
1741650987.220,209490.785113,195326.037718,208910.569106,211960.041008
1741650987.234,209483.155711,195323.748897,208899.125003,211958.133658
1741650987.234,209462.937797,195318.789786,208882.340319,211858.569964
1741650987.249,209452.638104,195316.119496,208879.670028,211794.101519
1741650987.249,209472.093079,195317.263906,208894.165892,211852.084972
1741650987.250,209487.733352,195322.223017,208902.939704,211947.833965
1741650987.250,209478.959540,195323.748897,208894.165892,211948.596905
1741650987.264,209458.360155,195319.934196,208877.381208,211852.084972
1741650987.264,209456.452805,195318.789786,208878.144148,211794.864459
1741650987.279,209478.196600,195321.078607,208894.547362,211854.373793
1741650987.279,209488.114822,195324.893308,208904.465584,211946.308085
1741650987.280,209481.248361,195322.223017,208897.217653,211947.452495
1741650987.280,209462.556326,195316.882436,208882.340319,211849.796152
1741650987.280,209463.700737,195313.067735,208885.773550,211794.101519
1741650987.280,209473.237489,195315.738025,208899.125003,211847.507331
1741650987.294,209490.022173,195319.552726,208907.517345,211946.689555
1741650987.294,209486.588942,195321.841547,208899.887943,211951.648666
1741650987.295,209467.515438,195314.212145,208881.195909,211852.847913
1741650987.295,209449.967813,195304.675393,208873.185037,211780.368595
1741650987.309,209474.381899,195306.201273,208889.969721,211838.352049
1741650987.309,209492.692464,195313.067735,208902.939704,211938.297213
1741650987.310,209485.826002,195314.593615,208896.836182,211943.637794
1741650987.310,209462.556326,195309.253034,208881.577379,211845.218511
1741650987.324,209462.937797,195305.438333,208880.814439,211786.472117
1741650987.324,209482.774241,195308.490094,208898.362063,211844.455571
1741650987.325,209490.785113,195314.975085,208906.754405,211937.915743
1741650987.325,209483.155711,195314.593615,208900.650883,211942.493384
1741650987.339,209464.463677,195308.871564,208885.773550,211845.981451
1741650987.339,209462.556326,195305.438333,208883.103259,211785.327707
1741650987.340,209470.185728,195307.727154,208893.784422,211834.537348
1741650987.340,209487.733352,195312.304795,208903.321174,211934.482512
1741650987.353,209480.866891,195312.686265,208893.021482,211939.823093
1741650987.353,209460.648976,195307.345683,208874.710917,211842.548220
1741650987.369,209449.204873,195303.149512,208868.607396,211774.646544
1741650987.369,209470.185728,195305.819803,208882.721789,211831.485588
1741650987.369,209485.063062,195311.541854,208891.495601,211929.523401
