# timestamp,T3,T4,O1,O2
1741649921.247,233875.497699,209045.228048,221488.400925,229022.435210
1741649921.247,233867.868297,209042.557757,221482.678874,228916.005054
1741649931.086,232942.421858,208584.412178,221020.718594,228492.191784
1741649931.086,232949.288320,208587.082469,221021.481534,228591.755478
1741649931.087,232936.318337,208580.216007,221005.841261,228523.090861
1741649931.087,232914.956012,208572.968076,220994.015688,228368.976945
1741649931.101,232925.637174,208573.731016,221005.841261,228351.047851
1741649931.101,232942.803328,208572.968076,221019.955654,228478.840331
1741649931.101,232948.906850,208574.112486,221022.625945,228581.074315
1741649931.101,232929.451875,208571.442195,221007.748611,228512.028229
1741649931.116,232920.296593,208569.534845,221000.500679,228374.698996
1741649931.116,232925.637174,208570.679255,221006.985671,228356.388432
1741649931.116,232941.658918,208577.164247,221024.914765,228490.284434
1741649931.116,232938.988627,208581.360418,221028.729466,228592.899888
1741649931.131,232929.070405,208580.216007,221018.048304,228531.864673
1741649931.131,232919.152183,208577.545717,221008.511551,228390.339270
1741649931.132,232920.678063,208579.453067,221014.615073,228362.110483
1741649931.132,232937.462747,208584.793649,221029.110936,228491.047374
1741649931.145,232943.184798,208587.463939,221029.492406,228594.807238
1741649931.145,232929.451875,208584.030708,221011.563312,228529.575853
1741649931.145,232905.800730,208578.308657,220993.634218,228371.647236
1741649931.145,232912.667191,208576.782777,220999.737739,228345.707269
1741649931.174,232932.503636,208581.741888,221016.522423,228475.788570
1741649931.174,232941.277448,208585.175119,221019.955654,228580.311375
1741649931.176,232921.441003,208581.741888,221006.985671,228510.120878
1741649931.176,232911.141311,208576.782777,220999.737739,228368.214005
1741649931.176,232917.626302,208577.164247,221011.181842,228347.614620
1741649931.176,232937.081277,208581.741888,221031.399757,228476.170040
1741649931.191,232942.803328,208584.030708,221035.977398,228576.878144
1741649931.191,232930.977756,208580.216007,221020.718594,228512.791169
1741649931.192,232915.718952,208573.731016,221006.985671,228366.306654
1741649931.192,232914.574542,208573.731016,221012.707722,228335.407577
1741649931.206,232928.307465,208577.927187,221028.729466,228458.622416
1741649931.206,232941.277448,208587.463939,221039.029159,228570.393153
1741649931.207,232929.451875,208585.175119,221024.914765,228511.265289
1741649931.207,232903.893379,208580.216007,221008.893021,228357.914312
1741649931.221,232908.852490,208584.030708,221019.574184,228336.170517
1741649931.221,232929.833345,208591.660110,221040.173569,228470.066519
1741649931.222,232939.751568,208598.908042,221046.658560,228582.218725
1741649931.222,232920.678063,208598.908042,221032.544167,228519.276161
1741649931.236,232909.996901,208598.526572,221020.718594,228378.895167
1741649931.236,232918.007772,208601.578332,221030.636817,228354.481081
1741649931.236,232940.514508,208611.115085,221052.762082,228486.851203
1741649931.236,232948.143910,208619.507427,221061.917364,228593.662828
1741649931.251,232943.184798,208623.322128,221056.576783,228544.071716
1741649931.251,232932.885106,208622.559187,221047.040031,228404.835133
1741649931.251,232931.740696,208623.703598,221052.380612,228374.317526
1741649931.251,232949.669790,208627.899769,221069.165296,228501.347066
1741649931.267,232960.350952,208633.240350,221072.979997,228610.828982
1741649931.267,232950.051260,208633.621820,221059.247073,228553.226999
1741649931.267,232928.307465,208627.899769,221042.462389,228399.113082
1741649931.267,232931.359226,208626.373888,221047.802971,228368.976945
1741649931.281,232948.525380,208633.621820,221063.061774,228497.150895
1741649931.281,232958.062132,208638.962401,221066.113535,228610.066042
1741649931.282,232936.699807,208637.055051,221049.710321,228549.412298
1741649931.282,232924.874234,208634.003290,221038.647689,228406.742484
1741649941.240,232385.094056,207498.748301,220463.390792,227838.733519
1741649941.240,232392.341988,207500.274182,220464.916673,227941.348974
1741649941.240,232381.660825,207498.748301,220451.183749,227880.695229
1741649941.240,232359.535560,207494.170660,220435.924946,227730.777484
1741649941.255,232364.494671,207493.407720,220441.265527,227709.033689
1741649941.255,232382.423766,207496.840951,220456.524331,227838.352049
1741649941.255,232389.290227,207500.655652,220459.957561,227942.493384
1741649941.255,232374.031424,207500.655652,220446.606108,227881.458169
1741649941.270,232356.483799,207492.644780,220429.821424,227736.881005
1741649941.270,232356.865270,207488.067139,220432.110245,227708.652218
1741649941.270,232369.453783,207492.263310,220444.698758,227831.867058
1741649941.270,232375.938774,207496.840951,220446.224638,227933.719572
1741649941.285,232366.020552,207494.552130,220431.728775,227874.973178
1741649941.285,232353.050569,207490.737429,220419.140262,227733.829244
1741649941.286,232351.143218,207489.974489,220423.717903,227701.404287
1741649941.286,232374.794364,207494.552130,220443.554348,227831.104117
