# timestamp,T3,T4,O1,O2
1741650685.563,211731.921894,195338.626231,208437.927664,212461.674177
1741650685.563,211726.962783,195332.904179,208432.587082,212386.906039
1741650685.577,211746.799228,195335.193000,208447.845886,212437.641561
1741650685.577,211767.780082,195340.533581,208461.578809,212547.123477
1741650685.578,211754.810099,195341.296521,208457.001168,212560.093460
1741650685.578,211737.262475,195334.048590,208444.412655,212464.725938
1741650695.599,211251.651050,194930.834704,207888.229264,211898.242853
1741650695.599,211267.291324,194938.464106,207898.910426,212002.002718
1741650705.514,210902.987388,194796.557232,207637.603414,211667.834919
1741650705.514,210895.739456,194793.886942,207632.262833,211587.344730
1741650705.515,210912.142670,194795.412822,207644.088406,211627.780559
1741650705.515,210923.968243,194799.990463,207654.769568,211730.777484
1741650705.543,210919.390602,194798.846053,207647.521637,211756.335980
1741650705.543,210897.646806,194794.268412,207629.211072,211665.927568
1741650705.544,210890.780345,194790.835181,207624.251961,211585.818849
1741650705.544,210897.646806,194791.598121,207634.551653,211617.862337
1741650705.544,210919.390602,194795.412822,207645.232816,211725.818373
1741650705.544,210917.483251,194795.412822,207638.366354,211753.665689
1741650705.545,210896.502396,194790.835181,207622.726081,211664.401688
1741650705.545,210885.821234,194788.164890,207619.292850,211582.004148
1741650705.559,210902.605918,194790.453711,207634.551653,211620.532628
1741650705.559,210923.205302,194795.794292,207645.614286,211728.488663
1741650705.559,210919.390602,194797.320173,207638.747824,211755.573040
1741650705.559,210889.635934,194793.505472,207621.963140,211659.442577
1741650705.574,210890.780345,194791.598121,207619.292850,211581.622678
1741650705.574,210910.616789,194795.031352,207637.603414,211620.151158
1741650705.574,210925.494123,194800.753403,207650.573397,211723.529552
1741650705.574,210924.349713,194801.516344,207645.232816,211752.139809
1741650705.589,210904.894738,194796.557232,207625.777841,211661.731397
1741650705.589,210899.172687,194790.453711,207620.818730,211578.189448
1741650705.590,210904.131798,194790.453711,207631.499893,211605.655294
1741650705.590,210927.020003,194793.505472,207647.140166,211712.466919
1741650705.603,210925.875593,194793.886942,207642.562525,211741.458646
1741650705.603,210905.657678,194786.639010,207627.303722,211649.524354
1741650705.618,210888.872994,194779.391078,207619.674320,211558.353003
1741650705.618,210906.420618,194780.535489,207634.933124,211594.211191
1741650705.618,210925.875593,194786.257540,207649.810457,211703.311637
1741650705.618,210922.060892,194787.401950,207645.995756,211735.736595
1741650705.633,210902.605918,194784.731660,207631.118423,211649.905825
1741650705.633,210896.120926,194784.350190,207627.685192,211573.611806
1741650705.633,210913.287080,194789.690771,207641.418115,211614.429106
1741650705.633,210927.020003,194798.083113,207653.625158,211721.240731
1741650705.648,210925.875593,194803.423694,207647.521637,211757.098920
1741650705.648,210908.327969,194802.279284,207631.881363,211673.175500
1741650705.648,210901.842977,194801.134874,207628.829602,211592.685311
1741650705.648,210908.709439,194804.568104,207638.366354,211622.058508
1741650705.663,210931.979115,194809.527216,207652.099278,211730.396014
1741650705.663,210932.742055,194811.816036,207648.284577,211763.202441
1741650705.663,210913.668550,194808.764275,207631.881363,211677.371671
1741650705.663,210897.265336,194804.568104,207625.014901,211589.252080
1741650705.678,210912.524140,194803.042224,207636.840474,211622.821448
1741650705.678,210930.453234,194805.712515,207649.428987,211728.107193
1741650705.678,210925.494123,194806.093985,207644.469876,211755.954510
1741650705.678,210901.080037,194799.227523,207626.159311,211663.257278
1741650715.728,211287.890709,194813.341916,207711.608612,211564.837994
1741650715.728,211297.808931,194814.104857,207719.619484,211569.797106
1741650715.745,211310.778914,194818.682498,207733.352407,211672.031090
1741650715.745,211317.645376,194823.260139,207732.970937,211734.592185
1741650715.745,211296.664521,194818.682498,207712.753022,211665.546098
1741650715.745,211276.446606,194811.434566,207696.349808,211560.641823
1741650715.759,211283.313068,194810.671626,207705.505090,211567.508285
1741650715.759,211304.293923,194816.393677,207723.052714,211676.608731
1741650715.760,211309.634504,194820.589848,207727.630355,211738.788356
1741650715.760,211287.509239,194820.971318,207713.134492,211670.886680
1741650715.774,211274.920726,194818.682498,207706.268030,211577.045037
1741650715.774,211287.127769,194821.734258,207718.856543,211586.200319
1741650715.775,211310.778914,194826.311899,207734.878287,211693.393415
1741650715.775,211304.675393,194828.982190,207732.207997,211746.799228
1741650715.789,211286.364828,194824.023079,207713.134492,211678.897551
1741650715.789,211271.487495,194817.156617,207699.401569,211578.189448
1741650715.790,211279.498367,194818.301028,207707.412441,211581.241208
1741650715.790,211290.942470,194822.115728,207720.382424,211680.423432
1741650725.855,211513.721002,194719.118804,207513.244165,211383.258231
1741650725.855,211536.227738,194724.459385,207527.740028,211497.317788
1741650735.800,212423.145698,194787.783420,207650.191927,211158.572348
1741650735.800,212439.167442,194791.598121,207660.873090,211261.950743
1741650735.800,212433.063920,194791.979591,207654.006628,211271.487495
1741650735.800,212406.361014,194788.164890,207634.170183,211165.438810
1741650735.814,212405.598074,194787.401950,207633.788713,211100.207424
1741650735.814,212423.908638,194792.361061,207648.666047,211160.098229
1741650735.814,212436.878621,194796.938703,207657.821329,211265.383973
1741650735.814,212426.197458,194794.649882,207646.377226,211270.724555
1741650735.830,212408.649834,194787.401950,207629.592542,211168.109100
1741650735.830,212405.598074,194783.968719,207626.159311,211100.970365
1741650735.830,212415.516296,194787.020480,207637.221944,211154.376177
1741650735.830,212430.393629,194789.690771,207647.140166,211258.517512
1741650735.845,212426.578929,194787.020480,207638.366354,211266.909854
1741650735.845,212413.990416,194785.113130,207625.396371,211167.727630
1741650735.845,212402.927783,194780.916959,207622.726081,211092.196552
1741650735.845,212421.619817,194780.535489,207638.366354,211148.654126
1741650735.860,212438.785971,194786.257540,207652.862218,211259.280452
1741650735.860,212437.641561,194788.164890,207653.625158,211276.828076
1741650735.875,212412.846005,194783.205779,207641.418115,211174.212622
1741650735.875,212412.846005,194781.679899,207642.181055,211107.455356
1741650735.875,212432.300980,194787.783420,207659.728679,211165.438810
1741650735.875,212443.745083,194791.216651,207665.832201,211268.435734
1741650735.890,212433.826860,194788.164890,207653.243688,211273.013375
1741650735.890,212416.660706,194783.205779,207636.840474,211170.779391
1741650735.890,212413.608945,194780.535489,207633.788713,211100.970365
1741650735.890,212426.578929,194785.876070,207648.666047,211151.705887
